NoOfExternalRef,LineOfCode,NoOfSelfRef,NoOfImage,NoOfJS,HasSocialNet,NoOfCSS,HasCopyrightInfo,IsHTTPS,LargestLineLength,HasDescription,DegitRatioInURL,NoOfDegitsInURL,NoOfOtherSpecialCharsInURL,URLLength,label,TLD
11,497.0,4,5,12,1,2,1,1.0,661.0,1,0.0,0.0,1.0,28.0,1,com
11,1270.0,19,12,7,0,3,1,1.0,479.0,0,0.0,0.0,1.0,18.0,1,ca
0,790.0,19,19,9,0,5,1,1.0,1809.0,1,0.0,0.0,1.0,35.0,1,com
13,2139.0,109,24,5,0,1,1,1.0,1109.0,1,0.0,0.0,2.0,20.0,1,jp
39,2318.0,133,16,5,1,1,1,1.0,537.0,1,0.0,0.0,1.0,29.0,1,com
69,1886.0,50,7,8,1,3,1,1.0,7085.0,0,0.0,0.0,1.0,30.0,1,com
87,469.0,82,20,8,0,5,0,1.0,1820.0,0,0.0,0.0,1.0,26.0,1,ch
28,529.0,55,43,4,1,1,1,1.0,1471.0,0,0.0,0.0,1.0,35.0,1,com
1,519.0,0,11,0,0,0,1,1.0,465.0,1,0.0,0.0,1.0,24.0,1,org
17,1333.0,39,14,21,1,2,1,1.0,5471.0,1,0.0,0.0,1.0,27.0,1,com
35,1611.0,115,38,8,1,2,1,1.0,6756.0,1,0.0,0.0,2.0,29.0,1,uk
339,2556.0,315,176,18,1,12,1,1.0,11261.0,1,0.0,0.0,1.0,21.0,1,fr
140,1265.0,147,72,6,1,2,1,1.0,8047.0,1,0.0,0.0,1.0,33.0,1,com
321,1823.0,314,51,20,1,11,1,1.0,11399.0,0,0.0,0.0,2.0,26.0,1,com
11,1280.0,17,55,4,1,2,1,1.0,1019.0,1,0.0,0.0,1.0,30.0,1,com
105,1064.0,105,18,30,1,24,1,1.0,8047.0,0,0.048,1.0,1.0,21.0,1,com
233,4762.0,168,62,15,1,4,1,1.0,29714.0,1,0.0,0.0,1.0,31.0,1,com
33,1259.0,69,48,7,1,5,1,1.0,2634.0,0,0.0,0.0,1.0,22.0,1,org
27,977.0,102,13,4,1,1,1,1.0,4198.0,0,0.0,0.0,1.0,28.0,1,com
55,284.0,0,8,7,1,1,1,1.0,549.0,1,0.0,0.0,2.0,34.0,1,com
55,945.0,50,31,24,1,4,1,1.0,1787.0,0,0.0,0.0,1.0,27.0,1,pt
